color,date,slug,title,lshow,link,readings,optional,assigned,ashow,due,dshow
white,22-Jan,Intro,,1,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec1.pdf,Ch 1,,"<a href=""https://github.com/w4111/hw0"">HW 0</a>",1,,
#e7f8ff,24-Jan,Entity-Relationship Modeling,ER Modeling,,,Ch 2,,"<a href=""https://github.com/w4111/hw1"">HW 1</a><br/><a href=""https://github.com/w4111/project1"">Project 1 Part 1.</a> <br/>LOOK FOR TEAMMATE",,"HW 0 Fri 1/25 10AM<br/>You will receive a 0 in this class if HW0 not completed on time -- no exceptions<br/><br/><a href=""https://goo.gl/forms/nlcC9CGvutj1FcnS2"">Deadline to sign up for proj1 matching system</a> 1/25 10AM est",1
#e7f8ff,29-Jan,Entity-Relationship Modeling + Nonrelational Models,"More constraints, using ER models",,,Ch 2,,,,,
#e7f8ff,31-Jan,Relational Model,Dawn before time: non relational models.,,,Ch 3,"optional: <a href=""./reading/goesaroundcomesaround.pdf"">What goes around comes around</a><br/>optional: <a href=""https://highlyscalable.wordpress.com/2012/03/01/nosql-data-modeling-techniques/"">NoSQL data modeling techniques</a>","<a href=""https://github.com/w4111/advanced/"">AA1</a>",,Formed team for Project 1 (no deliverable)<br/><br/>HW 1 Part 1 (ER diagram) 10AM (digital copy),
#e7f8ff,5-Feb,Relational Model,ER and Relational Review.,,,Ch 3,"optional: <a href=""./reading/goesaroundcomesaround.pdf"">What goes around comes around</a>",,,Project 1 Part 1 approval phase ,
#e7f8ff,7-Feb,Relational Model,Intro to Relational Algebra,,,Ch 3,"optional: <a href=""./reading/codd.pdf"">Original Relational Model paper</a>",,,Project 1 Part 1 approval phase ,
#f2f9ed,12-Feb,Relational Algebra,,,,Ch 4,<a href='https://w4111.github.io/files/lectures/lec7.5.pdf'>Start of SQL</a>,,,Project 1 Part 1 approval phase <br/><br/>HW1 Part 2 Schema 10AM ,
#f2f9ed,14-Feb,SQL,"ER to Relational, supplemental notes",,,Ch 4,,"<a href=""https://github.com/w4111/project1"">Project 1 Part 2.</a> <br/><a href=""https://github.com/w4111/advanced/tree/master/databass"">AA2</a>",,Project 1 Part 1  10AM digital copy<br/>AA1 10AM,
#f2f9ed,19-Feb,SQL ,"Joins, Aggregations",,,Ch 5,,,,,
#f2f9ed,21-Feb,SQL,Order by and UDFs,,,Ch 5,,"<a href=""https://github.com/w4111/HW2/"">HW 2</a>",,,
#f2f9ed,26-Feb,SQL,"Triggers, WITH, Views.",,,"Ch 5<br/><a href=""https://github.com/w4111/syllabus/blob/master/reading/midterm1-practice1.pdf"">Midterm Practice 1</a><br/><a href=""https://github.com/w4111/syllabus/blob/master/reading/midterm1-practice2.pdf"">Midterm Practice 2</a>",,,,,
#f2f9ed,28-Feb,SQL,"WITH, review",,,"Ch 5<br/>optional: <a href=""https://github.com/w4111/syllabus/blob/master/reading/triggerman.pdf"">Scalable Trigger support</a>",,,,,
white,5-Mar,Midterm Review,,,,,,,,HW 2 Due 10AM.,
white,7-Mar,Midterm: closed book,one 8x11 page cheat sheet both sides,,,,,"<a href=""https://github.com/w4111/project1/blob/master/part3.md"">Project 1 Part 3</a><br/><a href=""https://github.com/w4111/hw3"">HW 3</a>",,,
#edf3f9,12-Mar,APIs ,"DBAPIs, Impedance Mismatches, SQL Injection",,,Ch 6,,,,Project 1 Part 2 10AM<br/>AA2 10AM,
#edf3f9,14-Mar,Normalization,"Redundancy, Functional dependencies",,,Ch 19,,,,,
#edf3f9,26-Mar,Normalization ,Normalization algorithms,,,Ch 19,,"<a href=""https://github.com/w4111/advanced/blob/master/window.md"">AA3</a>",,,
#ddf9ff,28-Mar,Physical Design,"Disk storage, Basic Files",,,Ch 8,,,,,
#ddf9ff,2-Apr,Physical Design,Index files and costs,,,Ch 8,,,,,
#ddf9ff,4-Apr,Query Proc,"Query plans, statistics, join algorithms",,,Ch 12,,"<a href=""https://github.com/w4111/hw4"">HW 4</a>",,HW 3 10AM<br/>AA3  10AM,
#ddf9ff,9-Apr,Query Proc,Join algorithms and Selinger,,,Ch 12,"optional: <a href=""./reading/selinger.pdf"">Selinger Paper</a>",,,,
#ddf9ff,11-Apr,Transaction Processing,Concurrency Control,,,Ch 16,,,,,
#ddf9ff,16-Apr,Transaction Processing,Concurrency Control,,,Ch 16,,"<a href=""https://github.com/w4111/project2"">Project 2</a><br/><a href=""https://github.com/w4111/advanced/"">AA4</a>",,Project 1 Part 3 10AM,
white,18-Apr,Transaction Processing,Recovery,,,Ch 18,,,,,
white,23-Apr,Misc Lecture,TBA,,,,,,,HW 4 2:30PM,
white,25-Apr,Review,,,,,,,,,
white,30-Apr,Exam 2 (Cumulative): Closed Book,1 page cheat sheet both sides,,,,,,,,
white,2-May,No lecture,,,,,,,,AA4 10AM<br/>Project 2 10AM,
